Thread: 209 Enqueued Item:  1195 At Time: Dec 07,2015 21:36:12 
Thread: 210 Enqueued Item:  1246 At Time: Dec 07,2015 21:36:12 
Thread: 211 Pushed Item:     597 At Time: Dec 07,2015 21:36:12 
Thread: 212 Enqueued Item:   392 At Time: Dec 07,2015 21:36:12 
Thread: 213 Pushed Item:     843 At Time: Dec 07,2015 21:36:12 
Thread: 214 Enqueued Item:   662 At Time: Dec 07,2015 21:36:12 
Thread: 215 Enqueued Item:  1006 At Time: Dec 07,2015 21:36:12 
Thread: 216 Pushed Item:     921 At Time: Dec 07,2015 21:36:12 
Thread: 217 Enqueued Item:   978 At Time: Dec 07,2015 21:36:12 
Thread: 218 Pushed Item:     746 At Time: Dec 07,2015 21:36:12 
Thread: 219 Pushed Item:     981 At Time: Dec 07,2015 21:36:12 
Thread: 220 Pushed Item:     875 At Time: Dec 07,2015 21:36:12 
Thread: 221 Pushed Item:     522 At Time: Dec 07,2015 21:36:12 
Thread: 223 Pushed Item:     883 At Time: Dec 07,2015 21:36:12 
Thread: 224 Enqueued Item:  1054 At Time: Dec 07,2015 21:36:12 
Thread: 226 Enqueued Item:  1034 At Time: Dec 07,2015 21:36:12 
Thread: 228 Enqueued Item:  1164 At Time: Dec 07,2015 21:36:12 
Thread: 229 Enqueued Item:  1035 At Time: Dec 07,2015 21:36:12 
Thread: 230 Enqueued Item:   978 At Time: Dec 07,2015 21:36:12 
Thread: 231 Pushed Item:    1343 At Time: Dec 07,2015 21:36:12 
Thread: 232 Pushed Item:     873 At Time: Dec 07,2015 21:36:12 
Thread: 234 Enqueued Item:  1318 At Time: Dec 07,2015 21:36:12 
Thread: 235 Pushed Item:     940 At Time: Dec 07,2015 21:36:12 
Thread: 236 Enqueued Item:  1048 At Time: Dec 07,2015 21:36:12 
Thread: 237 Enqueued Item:   767 At Time: Dec 07,2015 21:36:12 
Thread: 239 Enqueued Item:   940 At Time: Dec 07,2015 21:36:12 
Thread: 240 Enqueued Item:   560 At Time: Dec 07,2015 21:36:12 
Thread: 241 Enqueued Item:  1086 At Time: Dec 07,2015 21:36:12 
Thread: 242 Pushed Item:     868 At Time: Dec 07,2015 21:36:12 
Thread: 243 Enqueued Item:   808 At Time: Dec 07,2015 21:36:12 
Thread: 244 Enqueued Item:  1109 At Time: Dec 07,2015 21:36:12 
Thread: 247 Pushed Item:     777 At Time: Dec 07,2015 21:36:12 
Thread: 248 Enqueued Item:  1142 At Time: Dec 07,2015 21:36:12 
Thread: 249 Pushed Item:    1089 At Time: Dec 07,2015 21:36:12 
Thread: 250 Enqueued Item:   772 At Time: Dec 07,2015 21:36:12 
Thread: 251 Pushed Item:    1098 At Time: Dec 07,2015 21:36:12 
Thread: 252 Pushed Item:     724 At Time: Dec 07,2015 21:36:12 
Thread: 253 Enqueued Item:  1174 At Time: Dec 07,2015 21:36:12 
Thread: 254 Pushed Item:     970 At Time: Dec 07,2015 21:36:12 
Thread: 256 Pushed Item:    1031 At Time: Dec 07,2015 21:36:12 
Thread: 257 Pushed Item:     790 At Time: Dec 07,2015 21:36:12 
Thread: 258 Pushed Item:    1291 At Time: Dec 07,2015 21:36:12 
Thread: 259 Enqueued Item:  1143 At Time: Dec 07,2015 21:36:12 
Thread: 260 Pushed Item:     996 At Time: Dec 07,2015 21:36:12 
Thread: 261 Enqueued Item:   505 At Time: Dec 07,2015 21:36:12 
Thread: 262 Pushed Item:    1091 At Time: Dec 07,2015 21:36:12 
Thread: 263 Enqueued Item:   725 At Time: Dec 07,2015 21:36:12 
Thread: 264 Pushed Item:     928 At Time: Dec 07,2015 21:36:12 
Thread: 265 Enqueued Item:  1138 At Time: Dec 07,2015 21:36:12 
Thread: 266 Pushed Item:     764 At Time: Dec 07,2015 21:36:12 
Thread: 268 Pushed Item:    1081 At Time: Dec 07,2015 21:36:12 
Thread: 269 Pushed Item:     948 At Time: Dec 07,2015 21:36:12 
Thread: 270 Pushed Item:     952 At Time: Dec 07,2015 21:36:12 
Thread: 271 Enqueued Item:  1149 At Time: Dec 07,2015 21:36:12 
Thread: 272 Enqueued Item:   935 At Time: Dec 07,2015 21:36:12 
Thread: 273 Enqueued Item:   988 At Time: Dec 07,2015 21:36:12 
Thread: 274 Enqueued Item:  1220 At Time: Dec 07,2015 21:36:12 
Thread: 275 Enqueued Item:   449 At Time: Dec 07,2015 21:36:12 
Thread: 276 Pushed Item:     805 At Time: Dec 07,2015 21:36:12 
Thread: 277 Pushed Item:     503 At Time: Dec 07,2015 21:36:12 
Thread: 278 Enqueued Item:   967 At Time: Dec 07,2015 21:36:12 
Thread: 279 Enqueued Item:  1094 At Time: Dec 07,2015 21:36:12 
Thread: 280 Enqueued Item:   838 At Time: Dec 07,2015 21:36:12 
Thread:  24 Pushed Item:     934 At Time: Dec 07,2015 21:36:12 
Thread:  31 Dequeued Item:   912 At Time: Dec 07,2015 21:36:12 
Thread: 281 Pushed Item:    1000 At Time: Dec 07,2015 21:36:12 
Thread:   2 Pushed Item:     886 At Time: Dec 07,2015 21:36:12 
Thread: 282 Pushed Item:    1012 At Time: Dec 07,2015 21:36:12 
Thread: 283 Enqueued Item:  1287 At Time: Dec 07,2015 21:36:12 
Thread: 284 Pushed Item:     962 At Time: Dec 07,2015 21:36:12 
Thread: 285 Pushed Item:     743 At Time: Dec 07,2015 21:36:12 
Thread: 286 Pushed Item:    1406 At Time: Dec 07,2015 21:36:12 
Thread: 287 Pushed Item:    1255 At Time: Dec 07,2015 21:36:12 
Thread:  12 Enqueued Item:  1159 At Time: Dec 07,2015 21:36:12 
Thread:  82 Pushed Item:     922 At Time: Dec 07,2015 21:36:12 
Thread:  27 Dequeued Item:  1168 At Time: Dec 07,2015 21:36:12 
Thread:  78 Pushed Item:    1326 At Time: Dec 07,2015 21:36:12 
Thread: 288 Enqueued Item:  1578 At Time: Dec 07,2015 21:36:12 
Thread: 290 Pushed Item:    1118 At Time: Dec 07,2015 21:36:12 
Thread: 291 Pushed Item:     919 At Time: Dec 07,2015 21:36:12 
Thread: 292 Pushed Item:    1079 At Time: Dec 07,2015 21:36:12 
Thread: 293 Pushed Item:     824 At Time: Dec 07,2015 21:36:12 
Thread:  55 Dequeued Item:   926 At Time: Dec 07,2015 21:36:12 
Thread: 294 Enqueued Item:   907 At Time: Dec 07,2015 21:36:12 
Thread:  59 Dequeued Item:  1029 At Time: Dec 07,2015 21:36:12 
Thread: 295 Enqueued Item:  1135 At Time: Dec 07,2015 21:36:12 
Thread:  13 Dequeued Item:   734 At Time: Dec 07,2015 21:36:12 
Thread: 296 Enqueued Item:  1344 At Time: Dec 07,2015 21:36:12 
Thread:   1 Dequeued Item:  1299 At Time: Dec 07,2015 21:36:12 
Thread: 297 Enqueued Item:   706 At Time: Dec 07,2015 21:36:12 
Thread:  16 Pushed Item:    1034 At Time: Dec 07,2015 21:36:12 
Thread:  22 Pushed Item:     986 At Time: Dec 07,2015 21:36:12 
Thread:  25 Dequeued Item:   735 At Time: Dec 07,2015 21:36:12 
Thread:   5 Dequeued Item:   881 At Time: Dec 07,2015 21:36:12 
